source_id,company_name,industry,source_type,published_date,kri_category,matched_keywords,evidence_sentence,detected_countries,detected_percentages,severity_hint,risk_score_hint,recommended_follow_up
https://example.com/sample/apple-tariff-supply-chain,Apple,consumer electronics semiconductor supply chain,sample_news,2026-05-01,trade/tariff risk,tariff,Apple supply chain faces tariff and China exposure questions.,China,,low,1,納入追蹤：請確認 trade/tariff risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/apple-tariff-supply-chain,Apple,consumer electronics semiconductor supply chain,sample_news,2026-05-01,supply chain risk,supply chain,Apple supply chain faces tariff and China exposure questions.,China,,low,1,納入追蹤：請確認 supply chain risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/apple-tariff-supply-chain,Apple,consumer electronics semiconductor supply chain,sample_news,2026-05-01,trade/tariff risk,tariff,"Consumer electronics companies may face tariff uncertainty, cost pressure, and supply chain disruption linked to China, Taiwan, and semiconductor component sourcing.","Taiwan, China",,medium,2,納入追蹤：請確認 trade/tariff risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/apple-tariff-supply-chain,Apple,consumer electronics semiconductor supply chain,sample_news,2026-05-01,supply chain risk,supply chain,"Consumer electronics companies may face tariff uncertainty, cost pressure, and supply chain disruption linked to China, Taiwan, and semiconductor component sourcing.","Taiwan, China",,medium,2,納入追蹤：請確認 supply chain risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/apple-tariff-supply-chain,Apple,consumer electronics semiconductor supply chain,sample_news,2026-05-01,cost pressure risk,cost pressure,"Consumer electronics companies may face tariff uncertainty, cost pressure, and supply chain disruption linked to China, Taiwan, and semiconductor component sourcing.","Taiwan, China",,medium,2,納入追蹤：請確認 cost pressure risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/semiconductor-shortage,Apple,consumer electronics semiconductor supply chain,sample_news,2026-04-26,supply chain risk,shortage,Semiconductor shortages could delay product launches.,,,medium,2,納入追蹤：請確認 supply chain risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/semiconductor-shortage,Apple,consumer electronics semiconductor supply chain,sample_news,2026-04-26,operational disruption risk,delay,Semiconductor shortages could delay product launches.,,,medium,2,納入追蹤：請確認 operational disruption risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/semiconductor-shortage,Apple,consumer electronics semiconductor supply chain,sample_news,2026-04-26,supply chain risk,shortage,A shortage of advanced chips and raw materials could delay production schedules and increase costs for global electronics brands.,,,medium,2,納入追蹤：請確認 supply chain risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/semiconductor-shortage,Apple,consumer electronics semiconductor supply chain,sample_news,2026-04-26,raw material risk,raw material,A shortage of advanced chips and raw materials could delay production schedules and increase costs for global electronics brands.,,,medium,2,納入追蹤：請確認 raw material risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/semiconductor-shortage,Apple,consumer electronics semiconductor supply chain,sample_news,2026-04-26,cost pressure risk,increase cost,A shortage of advanced chips and raw materials could delay production schedules and increase costs for global electronics brands.,,,medium,2,納入追蹤：請確認 cost pressure risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/semiconductor-shortage,Apple,consumer electronics semiconductor supply chain,sample_news,2026-04-26,operational disruption risk,delay,A shortage of advanced chips and raw materials could delay production schedules and increase costs for global electronics brands.,,,medium,2,納入追蹤：請確認 operational disruption risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/cyber-supplier-risk,Apple,consumer electronics semiconductor supply chain,sample_news,2026-04-20,supply chain risk,supplier,Cybersecurity and supplier concentration remain board-level risks.,,,medium,2,納入追蹤：請確認 supply chain risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/cyber-supplier-risk,Apple,consumer electronics semiconductor supply chain,sample_news,2026-04-20,supplier concentration risk,supplier concentration,Cybersecurity and supplier concentration remain board-level risks.,,,medium,2,納入追蹤：請確認 supplier concentration risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/cyber-supplier-risk,Apple,consumer electronics semiconductor supply chain,sample_news,2026-04-20,cybersecurity risk,"cyber, cybersecurity",Cybersecurity and supplier concentration remain board-level risks.,,,medium,2,納入追蹤：請確認 cybersecurity risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/cyber-supplier-risk,Apple,consumer electronics semiconductor supply chain,sample_news,2026-04-20,supply chain risk,supplier,"Companies with concentrated suppliers in Asia may face operational disruption, cybersecurity risk, and regulatory pressure across the United States, EU, China, and Taiwan.","Taiwan, China, United States, EU",,medium,2,納入追蹤：請確認 supply chain risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
https://example.com/sample/cyber-supplier-risk,Apple,consumer electronics semiconductor supply chain,sample_news,2026-04-20,regulatory risk,regulatory,"Companies with concentrated suppliers in Asia may face operational disruption, cybersecurity risk, and regulatory pressure across the United States, EU, China, and Taiwan.","Taiwan, China, United States, EU",,medium,2,納入追蹤：請確認 regulatory risk 的來源可靠性、財務影響、管理層是否已揭露，以及是否需要客戶訪談追問。
